Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
5241612,"Die Grenzen der Vernunft. Kognition, Intuition und komplexes Denken.",László Mérö,"Mérö, László",,"=""3499614197""","=""9783499614194""",0,4.33,Rowohlt Tb.,Paperback,,2002,2002,,2019/11/12,to-read,to-read (#129),to-read,,,,0,,,0,,,,,
7723797,Business Model Generation,Alexander Osterwalder,"Osterwalder, Alexander",Yves Pigneur,"=""2839906171""","=""9782839906173""",0,4.18,Alexander Osterwalder & Yves Pigneur,,273,2010,2010,,2019/11/09,currently-reading,currently-reading (#2),currently-reading,,,,1,,,0,,,,,
656,War and Peace,Leo Tolstoy,"Tolstoy, Leo","Henry Gifford, Aylmer Maude, Louise Maude","=""0192833987""","=""9780192833983""",0,4.11,Oxford University Press,Paperback,1392,1998,1867,,2018/03/17,to-read,to-read (#128),to-read,,,,0,,,0,,,,,
1973951,The Manipulated Man,Esther Vilar,"Vilar, Esther",,"=""0953096424""","=""9780953096428""",0,3.60,Pinter & Martin Ltd,Paperback,154,2005,1971,2019/11/09,2019/11/09,,,read,,,,1,,,0,,,,,
6320534,Under the Dome,Stephen King,"King, Stephen",,"=""1439148503""","=""9781439148501""",0,3.90,Scribner,Hardcover,1074,2009,2009,,2018/03/17,,,read,,,,0,,,0,,,,,
29438958,OSS 117 n'est pas aveugle,Jean Bruce,"Bruce, Jean",,"=""""","=""""",0,0.0,Presses de la Cité,Paperback,,,,,2018/03/17,,,read,,,,0,,,0,,,,,
10644930,11/22/63,Stephen King,"King, Stephen",,"=""1451627289""","=""9781451627282""",0,4.31,Scribner,Hardcover,849,2011,2011,,2018/03/17,,,read,,,,0,,,0,,,,,
37780109,Congo Requiem,Jean-Christophe Grangé,"Grangé, Jean-Christophe",,"=""""","=""9782253044741""",0,4.12,Livre de Poche,Paperback,859,2017,2016,,2018/01/16,,,read,,,,0,,,0,,,,,
30285430,Un fromage pour une souris,Jean Bruce,"Bruce, Jean",,"=""""","=""""",0,0.0,Presses de la Cité,Paperback,,1973,,,2018/03/17,,,read,,,,0,,,0,,,,,
135617,Les Contemplations,Victor Hugo,"Hugo, Victor",,"=""2080708430""","=""9782080708434""",0,4.12,,,471,,1856,,2018/03/17,,,read,,,,0,,,0,,,,,
1915472,Le Petit Chose,Alphonse Daudet,"Daudet, Alphonse",,"=""2266087614""","=""9782266087612""",0,3.72,Pocket,Poche,349,1998,1868,,2018/08/05,,,read,,,,0,,,0,,,,,
6318283,Desert,J.M.G. Le Clézio,"Clézio, J.M.G. Le",C. Dickson,"=""1567923860""","=""9781567923865""",0,3.69,David R. Godine Publisher,Hardcover,352,2009,1980,,2018/01/17,,,read,,,,0,,,0,,,,,
